GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 5 to 17 years:,Margin of Error; Male: - 5 to 17 years:,Estimate; Male: - 5 to 17 years: - With an ambulatory difficulty,Margin of Error; Male: - 5 to 17 years: - With an ambulatory difficulty,Estimate; Male: - 5 to 17 years: - No ambulatory difficulty,Margin of Error; Male: - 5 to 17 years: - No ambulatory difficulty,Estimate; Male: - 18 to 34 years:,Margin of Error; Male: - 18 to 34 years:,Estimate; Male: - 18 to 34 years: - With an ambulatory difficulty,Margin of Error; Male: - 18 to 34 years: - With an ambulatory difficulty,Estimate; Male: - 18 to 34 years: - No ambulatory difficulty,Margin of Error; Male: - 18 to 34 years: - No ambulatory difficulty,Estimate; Male: - 35 to 64 years:,Margin of Error; Male: - 35 to 64 years:,Estimate; Male: - 35 to 64 years: - With an ambulatory difficulty,Margin of Error; Male: - 35 to 64 years: - With an ambulatory difficulty,Estimate; Male: - 35 to 64 years: - No ambulatory difficulty,Margin of Error; Male: - 35 to 64 years: - No ambulatory difficulty,Estimate; Male: - 65 to 74 years:,Margin of Error; Male: - 65 to 74 years:,Estimate; Male: - 65 to 74 years: - With an ambulatory difficulty,Margin of Error; Male: - 65 to 74 years: - With an ambulatory difficulty,Estimate; Male: - 65 to 74 years: - No ambulatory difficulty,Margin of Error; Male: - 65 to 74 years: - No ambulatory difficulty,Estimate; Male: - 75 years and over:,Margin of Error; Male: - 75 years and over:,Estimate; Male: - 75 years and over: - With an ambulatory difficulty,Margin of Error; Male: - 75 years and over: - With an ambulatory difficulty,Estimate; Male: - 75 years and over: - No ambulatory difficulty,Margin of Error; Male: - 75 years and over: - No ambulatory difficulty,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 5 to 17 years:,Margin of Error; Female: - 5 to 17 years:,Estimate; Female: - 5 to 17 years: - With an ambulatory difficulty,Margin of Error; Female: - 5 to 17 years: - With an ambulatory difficulty,Estimate; Female: - 5 to 17 years: - No ambulatory difficulty,Margin of Error; Female: - 5 to 17 years: - No ambulatory difficulty,Estimate; Female: - 18 to 34 years:,Margin of Error; Female: - 18 to 34 years:,Estimate; Female: - 18 to 34 years: - With an ambulatory difficulty,Margin of Error; Female: - 18 to 34 years: - With an ambulatory difficulty,Estimate; Female: - 18 to 34 years: - No ambulatory difficulty,Margin of Error; Female: - 18 to 34 years: - No ambulatory difficulty,Estimate; Female: - 35 to 64 years:,Margin of Error; Female: - 35 to 64 years:,Estimate; Female: - 35 to 64 years: - With an ambulatory difficulty,Margin of Error; Female: - 35 to 64 years: - With an ambulatory difficulty,Estimate; Female: - 35 to 64 years: - No ambulatory difficulty,Margin of Error; Female: - 35 to 64 years: - No ambulatory difficulty,Estimate; Female: - 65 to 74 years:,Margin of Error; Female: - 65 to 74 years:,Estimate; Female: - 65 to 74 years: - With an ambulatory difficulty,Margin of Error; Female: - 65 to 74 years: - With an ambulatory difficulty,Estimate; Female: - 65 to 74 years: - No ambulatory difficulty,Margin of Error; Female: - 65 to 74 years: - No ambulatory difficulty,Estimate; Female: - 75 years and over:,Margin of Error; Female: - 75 years and over:,Estimate; Female: - 75 years and over: - With an ambulatory difficulty,Margin of Error; Female: - 75 years and over: - With an ambulatory difficulty,Estimate; Female: - 75 years and over: - No ambulatory difficulty,Margin of Error; Female: - 75 years and over: - No ambulatory difficulty
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",1720,228,735,138,144,64,0,11,144,64,210,76,7,9,203,76,310,74,18,13,292,73,55,32,14,16,41,26,16,13,5,6,11,10,985,153,154,56,0,11,154,56,188,77,25,22,163,74,471,101,90,52,381,90,120,53,36,26,84,45,52,28,26,27,26,18
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",4459,640,1935,381,403,220,0,11,403,220,657,253,0,11,657,253,718,172,138,69,580,177,77,60,0,11,77,60,80,51,0,11,80,51,2524,436,484,262,0,11,484,262,779,254,0,11,779,254,1125,205,65,65,1060,212,99,67,28,35,71,56,37,34,0,11,37,34
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",4985,580,2321,310,503,227,0,16,503,227,631,206,0,16,631,206,797,237,74,61,723,238,212,116,47,72,165,102,178,141,72,91,106,103,2664,496,436,266,0,16,436,266,872,301,0,16,872,301,910,191,158,93,752,176,271,142,54,88,217,117,175,112,0,16,175,112
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",1884,227,861,106,64,43,0,11,64,43,175,66,0,11,175,66,370,75,41,31,329,75,113,55,39,42,74,39,139,61,23,23,116,59,1023,181,26,33,0,11,26,33,205,63,0,11,205,63,300,82,8,13,292,82,100,43,0,11,100,43,392,160,143,149,249,75
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",4386,413,1920,360,186,94,0,11,186,94,774,297,0,11,774,297,685,105,46,69,639,124,178,77,0,11,178,77,97,74,0,11,97,74,2466,400,113,93,0,11,113,93,1008,346,36,40,972,347,877,135,66,89,811,117,290,97,32,35,258,94,178,90,54,46,124,75
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",5059,465,2467,324,25,29,0,16,25,29,2433,324,12,19,2421,322,9,18,0,16,9,18,0,16,0,16,0,16,0,16,0,16,0,16,2592,278,31,29,0,16,31,29,2558,273,11,12,2547,272,3,6,0,16,3,6,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",3244,446,1588,288,236,102,0,11,236,102,491,193,0,11,491,193,715,178,52,39,663,169,55,37,33,31,22,22,91,61,28,25,63,58,1656,327,288,183,0,11,288,183,564,175,2,5,562,174,607,155,66,45,541,153,142,59,33,26,109,56,55,34,25,22,30,24
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",3550,312,1493,193,76,51,0,11,76,51,1107,189,1,2,1106,189,249,71,15,17,234,67,44,23,9,11,35,20,17,15,7,10,10,11,2057,266,91,44,0,11,91,44,1596,243,0,11,1596,243,292,60,27,24,265,57,41,24,0,11,41,24,37,23,12,14,25,20
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",3534,444,1745,312,320,146,0,11,320,146,817,297,15,15,802,298,505,153,64,60,441,148,103,76,20,27,83,72,0,11,0,11,0,11,1789,331,422,124,0,11,422,124,817,285,0,11,817,285,531,129,29,27,502,125,0,11,0,11,0,11,19,21,9,14,10,15
