,code,no_schools_in_building,ratings,status,rating
0,X040,3,[1.],Same,1.0
1,X065,2,[6.],Same,6.0
2,X151,4,[6.],Same,6.0
3,X155,3,[4.],Same,4.0
4,X156,3,[5.],Same,5.0
5,X162,4,[5.],Same,5.0
6,X183,3,[1.],Same,1.0
7,X184,5,[1.],Same,1.0
8,X600,3,[3.],Same,3.0
9,X655,3,[1.],Same,1.0
10,X790,5,[10.],Same,10.0
11,X884,2,[10.],Same,10.0
12,X014,1,[8.],Same,8.0
13,X048,1,[9.],Same,9.0
14,X072,1,[9.],Same,9.0
15,X074,3,[8.],Same,8.0
16,X101,3,[4.],Same,4.0
17,X152,1,[1.],Same,1.0
18,X174,4,[1.],Same,1.0
19,X192,3,[8.],Same,8.0
20,X317,1,[10.],Same,10.0
21,X392,2,[10.],Same,10.0
22,X450,7,[4.],Same,4.0
23,X650,2,[9.],Same,9.0
24,X972,2,[10.],Same,10.0
25,X011,1,[3.],Same,3.0
26,X082,3,[9.],Same,9.0
27,X090,2,[3.],Same,3.0
28,X132,1,[8.],Same,8.0
29,X147,3,[1.],Same,1.0
30,X173,1,[10.],Same,10.0
31,X229,2,[8.],Same,8.0
32,X235,2,[10.],Same,10.0
33,X240,3,[10.],Same,10.0
34,X285,1,[10.],Same,10.0
35,X338,2,[10.],Same,10.0
36,X400,4,[6.],Same,6.0
37,X410,6,[6.],Same,6.0
38,X460,1,[10.],Same,10.0
39,X465,1,[10.],Same,10.0
40,X876,1,[9.],Same,9.0
41,X909,1,[10.],Same,10.0
42,X970,3,[10.],Same,10.0
43,X003,1,[10.],Same,10.0
44,X009,1,[10.],Same,10.0
45,X015,3,[10.],Same,10.0
46,X020,2,[10.],Same,10.0
47,X023,1,[9.],Same,9.0
48,X034,1,[10.],Same,10.0
49,X037,1,[10.],Same,10.0
50,X046,1,[10.],Same,10.0
51,X054,1,[10.],Same,10.0
52,X056,1,[10.],Same,10.0
53,X079,3,[9.],Same,9.0
54,X080,2,[8.],Same,8.0
55,X085,1,[3.],Same,3.0
56,X086,1,[1.],Same,1.0
57,X095,2,[9.],Same,9.0
58,X115,1,[3.],Same,3.0
59,X118,1,[4.],Same,4.0
60,X137,2,[4.],Same,4.0
61,X141,1,[3.],Same,3.0
62,X177,2,[10.],Same,10.0
63,X209,1,[10.],Same,10.0
64,X254,1,[10.],Same,10.0
65,X279,1,[10.],Same,10.0
66,X283,1,[9.],Same,9.0
67,X306,3,[10.],Same,10.0
68,X340,1,[9.],Same,9.0
69,X360,1,[10.],Same,10.0
70,X368,2,[10.],Same,10.0
71,X430,5,[9.],Same,9.0
72,X435,6,[8.],Same,8.0
73,X440,5,[6.],Same,6.0
74,X445,1,[4.],Same,4.0
75,X475,7,[6.],Same,6.0
76,X660,3,[1.],Same,1.0
77,X826,1,[9.],Same,9.0
78,X852,1,[9.],Same,9.0
79,X886,1,[5.],Same,5.0
80,X905,1,[10.],Same,10.0
81,X068,1,[4.],Same,4.0
82,X083,1,[8.],Same,8.0
83,X096,1,[10.],Same,10.0
84,X106,1,[10.],Same,10.0
85,X113,2,[5.],Same,5.0
86,X127,2,[8.],Same,8.0
87,X144,3,[1.],Same,1.0
88,X153,2,[9.],Same,9.0
89,X160,3,[8.],Same,8.0
90,X169,1,[10.],Same,10.0
91,X178,2,[8.],Same,8.0
92,X180,1,[1.],Same,1.0
93,X181,2,[4.],Same,4.0
94,X189,3,[10.],Same,10.0
95,X194,2,[10.],Same,10.0
96,X292,1,[10.],Same,10.0
97,X362,4,[10.],Same,10.0
98,X405,7,[6.],Same,6.0
99,X415,6,[6.],Same,6.0
100,X425,8,[9.],Same,9.0
101,X455,3,[7.],Same,7.0
102,X498,3,[10.],Same,10.0
103,X722,1,[1.],Same,1.0
104,X839,2,[9.],Same,9.0
105,X084,1,[2.],Same,2.0
106,X099,2,[9.],Same,9.0
107,X102,3,[8.],Same,8.0
108,X116,3,[1.],Same,1.0
109,X129,2,[1.],Same,1.0
110,X158,3,[9.],Same,9.0
111,X167,2,[8.],Same,8.0
112,X193,3,[8.],Same,8.0
113,X198,3,[1.],Same,1.0
114,X234,2,[1.],Same,1.0
115,X420,4,[7.],Same,7.0
116,X423,3,[10.],Same,10.0
117,X878,1,[8.],Same,8.0
118,X879,1,[10.],Same,10.0
119,X973,2,[10.],Same,10.0
120,K008,1,[8.],Same,8.0
121,K009,1,[1.],Same,1.0
122,K011,1,[1.],Same,1.0
123,K056,3,[5.],Same,5.0
124,K113,3,[6.],Same,6.0
125,K258,2,[8.],Same,8.0
126,K313,3,[10.],Same,10.0
127,K317,2,[10.],Same,10.0
128,K430,1,[8.],Same,8.0
129,K458,4,[9.],Same,9.0
130,K580,5,[7.],Same,7.0
131,K611,1,[10.],Same,10.0
132,K784,1,[9.],Same,9.0
133,K805,3,[9.],Same,9.0
134,K914,1,[10.],Same,10.0
135,K994,1,[10.],Same,10.0
136,K023,2,[3.],Same,3.0
137,K071,3,[8.],Same,8.0
138,K110,1,[9.],Same,9.0
139,K126,2,[7.],Same,7.0
140,K132,1,[9.],Same,9.0
141,K257,1,[8.],Same,8.0
142,K318,1,[3.],Same,3.0
143,K319,1,[1.],Same,1.0
144,K380,2,[3.],Same,3.0
145,K450,3,[8.],Same,8.0
146,K610,1,[1.],Same,1.0
147,K650,3,[6.],Same,6.0
148,K010,1,[3.],Same,3.0
149,K024,1,[10.],Same,10.0
150,K032,1,[1.],Same,1.0
151,K051,1,[6.],Same,6.0
152,K088,2,[9.],Same,9.0
153,K230,1,[8.],Same,8.0
154,K261,2,[3.],Same,3.0
155,K280,1,[4.],Same,4.0
156,K321,1,[9.],Same,9.0
157,K338,2,[10.],Same,10.0
158,K437,3,[10.],Same,10.0
159,K460,4,[9.],Same,9.0
160,K564,2,[10.],Same,10.0
161,K655,2,[6.],Same,6.0
162,K682,1,[4.],Same,4.0
163,K751,1,[nan],Same,
