,Unnamed: 0,Geography,Estimate; Male: - 5 to 17 years: - With an ambulatory difficulty,Estimate; Female: - 5 to 17 years: - With an ambulatory difficulty,Margin of Error; Male: - 5 to 17 years: - With an ambulatory difficulty,Margin of Error; Female: - 5 to 17 years: - With an ambulatory difficulty,County,total,tract_no,County_code,adjusted_zeroes,boro_ct201
0,88,"Census Tract 1, Bronx County, New York",0,0,16,16, Bronx County,0,1.0,2,000100,2000100
1,89,"Census Tract 2, Bronx County, New York",0,0,16,16, Bronx County,0,2.0,2,000200,2000200
2,90,"Census Tract 4, Bronx County, New York",0,0,16,16, Bronx County,0,4.0,2,000400,2000400
3,91,"Census Tract 16, Bronx County, New York",0,0,16,16, Bronx County,0,16.0,2,001600,2001600
4,92,"Census Tract 19, Bronx County, New York",0,0,11,11, Bronx County,0,19.0,2,001900,2001900
5,93,"Census Tract 20, Bronx County, New York",46,0,68,16, Bronx County,46,20.0,2,002000,2002000
6,94,"Census Tract 23, Bronx County, New York",28,0,40,11, Bronx County,28,23.0,2,002300,2002300
7,95,"Census Tract 24, Bronx County, New York",0,0,11,11, Bronx County,0,24.0,2,002400,2002400
8,96,"Census Tract 25, Bronx County, New York",30,18,35,27, Bronx County,48,25.0,2,002500,2002500
9,97,"Census Tract 27.01, Bronx County, New York",0,0,11,11, Bronx County,0,27.01,2,002701,2002701
10,98,"Census Tract 27.02, Bronx County, New York",0,0,11,11, Bronx County,0,27.02,2,002702,2002702
11,99,"Census Tract 28, Bronx County, New York",0,0,16,16, Bronx County,0,28.0,2,002800,2002800
12,100,"Census Tract 31, Bronx County, New York",0,0,11,11, Bronx County,0,31.0,2,003100,2003100
13,101,"Census Tract 33, Bronx County, New York",0,8,11,12, Bronx County,8,33.0,2,003300,2003300
14,102,"Census Tract 35, Bronx County, New York",0,4,11,13, Bronx County,4,35.0,2,003500,2003500
15,103,"Census Tract 37, Bronx County, New York",0,0,11,11, Bronx County,0,37.0,2,003700,2003700
16,104,"Census Tract 38, Bronx County, New York",26,0,25,11, Bronx County,26,38.0,2,003800,2003800
17,105,"Census Tract 39, Bronx County, New York",0,0,16,16, Bronx County,0,39.0,2,003900,2003900
18,106,"Census Tract 40.01, Bronx County, New York",0,0,11,11, Bronx County,0,40.01,2,004001,2004001
19,107,"Census Tract 41, Bronx County, New York",49,12,59,21, Bronx County,61,41.0,2,004100,2004100
20,108,"Census Tract 42, Bronx County, New York",0,18,16,28, Bronx County,18,42.0,2,004200,2004200
21,109,"Census Tract 43, Bronx County, New York",0,34,16,39, Bronx County,34,43.0,2,004300,2004300
22,110,"Census Tract 44, Bronx County, New York",0,6,11,10, Bronx County,6,44.0,2,004400,2004400
23,111,"Census Tract 46, Bronx County, New York",0,0,11,11, Bronx County,0,46.0,2,004600,2004600
24,112,"Census Tract 48, Bronx County, New York",21,0,32,11, Bronx County,21,48.0,2,004800,2004800
25,113,"Census Tract 50.01, Bronx County, New York",0,6,16,9, Bronx County,6,50.01,2,005001,2005001
26,114,"Census Tract 50.02, Bronx County, New York",18,17,29,27, Bronx County,35,50.02,2,005002,2005002
27,115,"Census Tract 51, Bronx County, New York",0,0,16,16, Bronx County,0,51.0,2,005100,2005100
28,116,"Census Tract 52, Bronx County, New York",0,0,11,11, Bronx County,0,52.0,2,005200,2005200
29,117,"Census Tract 53, Bronx County, New York",0,0,11,11, Bronx County,0,53.0,2,005300,2005300
30,118,"Census Tract 54, Bronx County, New York",0,23,16,34, Bronx County,23,54.0,2,005400,2005400
31,119,"Census Tract 56, Bronx County, New York",0,0,11,11, Bronx County,0,56.0,2,005600,2005600
32,120,"Census Tract 59.02, Bronx County, New York",0,25,11,41, Bronx County,25,59.02,2,005902,2005902
33,121,"Census Tract 60, Bronx County, New York",0,0,11,11, Bronx County,0,60.0,2,006000,2006000
34,122,"Census Tract 61, Bronx County, New York",0,0,11,11, Bronx County,0,61.0,2,006100,2006100
35,123,"Census Tract 62, Bronx County, New York",0,0,16,16, Bronx County,0,62.0,2,006200,2006200
36,124,"Census Tract 63, Bronx County, New York",0,1,11,9, Bronx County,1,63.0,2,006300,2006300
37,125,"Census Tract 64, Bronx County, New York",0,0,11,11, Bronx County,0,64.0,2,006400,2006400
38,126,"Census Tract 65, Bronx County, New York",0,0,16,16, Bronx County,0,65.0,2,006500,2006500
39,127,"Census Tract 67, Bronx County, New York",0,35,16,56, Bronx County,35,67.0,2,006700,2006700
40,128,"Census Tract 68, Bronx County, New York",8,0,13,11, Bronx County,8,68.0,2,006800,2006800
41,129,"Census Tract 69, Bronx County, New York",0,21,16,33, Bronx County,21,69.0,2,006900,2006900
42,130,"Census Tract 70, Bronx County, New York",0,0,11,11, Bronx County,0,70.0,2,007000,2007000
